0,10.3016299,-0.0322083,-4.953,0.015,0
0.5,28.7429085,-0.1191381,10.12,-0.077,-0.025
1,35.7823943,-0.1360304,7.117,0.005,-0.02
1.5,39.4975371,-0.1432243,5.632,-0.045,-0.023
2,41.7935256,-0.1472109,4.712,-0.006,-0.03
2.5,43.3532293,-0.1497453,4.3,-0.029,-0.027
3,44.4819642,-0.1514996,4.069,-0.001,-0.035
3.5,45.3367379,-0.1527864,3.927,0.006,-0.032
4,46.0065504,-0.1537712,3.903,0.011,-0.038
4.5,46.5456171,-0.1545496,3.678,-0.02,-0.034
5,46.9888504,-0.1551806,3.504,-0.006,-0.028
5.5,47.3597494,-0.1557027,3.367,0.001,-0.026
6,47.6747102,-0.1561419,3.231,0.009,-0.03
6.5,47.9455219,-0.156517,3.156,-0.02,-0.028
7,48.180878,-0.1568408,3.035,0.045,-0.024
7.5,48.3873303,-0.1571234,2.969,0.033,-0.02
8,48.5699101,-0.1573725,2.941,-0.002,-0.013
8.5,48.7325444,-0.1575937,2.868,0.027,-0.008
9,48.8783441,-0.1577914,2.807,0.016,-0.005
9.5,49.0098049,-0.1579695,2.788,0.012,0.004
10,49.1289526,-0.1581306,2.761,0.033,0.009
10.5,49.2374481,-0.158277,2.735,0.051,0.009
11,49.3366668,-0.1584108,2.678,0.055,0.006
11.5,49.4277567,-0.1585336,2.669,0.034,0.004
12,49.5116845,-0.1586469,2.679,0.02,0.003
12.5,49.5892685,-0.1587516,2.642,0.054,0.007
13,49.6612077,-0.1588488,2.639,0.012,0.004
13.5,49.7281014,-0.1589394,2.605,0.004,0.002
14,49.7904675,-0.1590239,2.599,0.025,0.002
14.5,49.8487548,-0.1591028,2.594,0.035,0.003
15,49.9033553,-0.1591767,2.617,0.037,0.006
15.5,49.9546115,-0.1592465,2.586,-0.019,-0.001
16,50.0028255,-0.1593123,2.597,-0.007,-0.005
16.5,50.0482634,-0.1593743,2.565,0.016,0
17,50.0911616,-0.1594328,2.559,0.023,-0.007
17.5,50.1317301,-0.1594883,2.583,0.017,-0.001
18,50.1701566,-0.1595408,2.556,0.028,0.001
18.5,50.2066088,-0.1595907,2.584,0.027,0.009
19,50.2412379,-0.1596381,2.604,0.036,0.003
19.5,50.2741792,-0.1596833,2.587,0.019,0.001
